,State,2015,2016,2017
0,AL,3907038,3943082,3954378
1,AK,533227,534585,534585
2,AZ,4978762,5082305,5164966
3,AR,2119578,2391103,2417464
4,CA,25532920,26199436,26777132
5,CO,3974521,4066580,4156138
6,CT,2566673,2611007,2586994
7,DE,742524,756328,770512
8,DC,455602,489831,521056
9,FL,14262715,14675160,15076358
10,GA,6906191,6975900,7060344
11,HI,909797,931703,951008
12,ID,1135009,1160922,1190367
13,IL,8462193,8514644,8529404
14,IN,4467848,4553259,4553584
15,IA,2224130,2245640,2246829
16,KS,2028657,2030025,2029869
17,KY,3021266,3031447,3019008
18,LA,3357091,3395095,3425656
19,ME,1019879,1021332,1032703
20,MD,4185752,4264875,4329503
21,MA,5040662,5040662,4935176
22,MI,7104484,7074674,7095778
23,MN,3351430,3377910,3394815
24,MS,1988396,2018862,2053924
25,MO,4213302,4249579,4274784
26,MT,781427,797145,807259
27,NE,1394301,1404479,1404479
28,NV,1835511,1872376,1918305
29,NH,1074766,1096234,1103624
30,NJ,6179318,6238436,6301363
31,NM,1467782,1521785,1473262
32,NY,11689839,11947568,12185313
33,NC,7160621,7267042,7389467
34,ND,545027,555935,561667
35,OH,7923439,7974951,8011705
36,OK,2621733,2498178,2505989
37,OR,2808548,2855746,2910592
38,PA,8942967,8996815,8964855
39,RI,745470,753143,753202
40,SC,3683824,3746681,3810962
41,SD,655707,622663,628506
42,TN,4621401,5197904,5377653
43,TX,15879876,15879876,17099340
44,UT,1913564,1960366,1995377
45,VT,548799,553670,560247
46,VA,5820209,5912048,5926430
47,WA,5516134,5635715,5768281
48,WV,1167346,1159348,1148786
49,WI,4194759,4206770,4234793
50,WY,422450,421098,422465
51,Total,218084465,221711918,225346257
